,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
43,4096,61.0,76256,5.836244595004246,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",150,0.6,8192
44,8192,61.0,76256,5.836244595004246,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",150,0.6,8192
45,0,0.0,200,0.005758609011536464,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",200,0.4,8192
46,1,59.0,402,0.024450411001453176,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
47,2,61.0,604,0.04312573099741712,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
48,4,61.0,1006,0.07681951601989567,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
49,8,61.0,1810,0.14027533400803804,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
50,16,61.0,3418,0.2642215490050148,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
51,32,61.0,6634,0.5061897039995529,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
52,64,61.0,13066,0.988893794012256,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
53,128,61.0,25930,1.9516121510241646,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
54,256,61.0,51658,3.885714435018599,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
55,512,61.0,101104,7.774691607017303,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
