,Iteration,Time,Fitness,FEvals,max_iters,learning_rate,pop_size,mutation_rates,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
87,87,254.375245930998,18.5641268793549,1853,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
88,88,257.231711234002,18.5641268793549,1874,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
89,89,260.078003121998,18.5641268793549,1895,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
90,90,262.919004816002,18.5641268793549,1916,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
91,91,265.773140464,18.5641268793549,1937,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
92,92,268.619305379005,18.5641268793549,1958,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
93,93,271.447350656999,18.5641268793549,1979,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
94,94,274.275548471,18.5641268793549,2000,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
95,95,277.126890783002,18.5641268793549,2021,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
96,96,280.030006097004,16.8853050416194,2043,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
97,97,282.869852183001,16.8853050416194,2064,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
98,98,285.717122280003,16.8853050416194,2085,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
99,99,288.558663155003,16.8853050416194,2106,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
100,100,291.439990514999,16.8853050416194,2127,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
