,Iteration,Time,Fitness,FEvals,max_iters,learning_rate,schedule,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
53,53,11.0488716130003,29.9963532917625,108,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
54,54,11.209926558,29.9941196408252,110,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
55,55,11.3566276460006,29.9940989791137,112,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
56,56,11.4992783180005,29.934922100698,114,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
57,57,11.642102197,29.9407726477458,116,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
58,58,11.7854277509996,29.940882735263,118,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
59,59,11.9290592140005,29.9369589080417,120,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
60,60,12.0721529629991,29.9373099522631,122,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
61,61,12.2153145979992,29.9372441230305,124,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
62,62,12.3595354570007,29.938691408952,126,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
63,63,12.5027230729993,29.9422218845351,128,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
64,64,12.6493740839996,29.9418371848533,130,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
65,65,13.2777902979997,29.9495104278732,132,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
66,66,13.4218624629993,29.9501381418302,134,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
67,67,13.564889583,29.9505600532764,136,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
68,68,13.7069539299991,29.9507947942817,138,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
