,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
24,256,35.236067977499786,38854,7.714793712017126,"[3, 2, 1, 0, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 26, 27, 28, 29, 30, 31, 24, 25]",150,0.5,8192
25,512,35.236067977499786,77510,16.002394704002654,"[3, 2, 1, 0, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 26, 27, 28, 29, 30, 31, 24, 25]",150,0.5,8192
26,1024,35.236067977499786,107408,21.84470903701731,"[3, 2, 1, 0, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 26, 27, 28, 29, 30, 31, 24, 25]",150,0.5,8192
27,2048,35.236067977499786,107408,21.84470903701731,"[3, 2, 1, 0, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 26, 27, 28, 29, 30, 31, 24, 25]",150,0.5,8192
28,4096,35.236067977499786,107408,21.84470903701731,"[3, 2, 1, 0, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 26, 27, 28, 29, 30, 31, 24, 25]",150,0.5,8192
29,8192,35.236067977499786,107408,21.84470903701731,"[3, 2, 1, 0, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 26, 27, 28, 29, 30, 31, 24, 25]",150,0.5,8192
30,0,130.83106057819353,150,0.009307422995334491,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",150,0.6,8192
31,1,101.90629030283577,302,0.05076143899350427,"[7, 8, 10, 1, 9, 17, 15, 30, 3, 29, 23, 24, 6, 5, 4, 2, 12, 13, 18, 20, 31, 25, 21, 0, 22, 11, 19, 16, 28, 27, 26, 14]",150,0.6,8192
32,2,99.63775022780688,454,0.08419752400368452,"[2, 1, 26, 20, 18, 19, 12, 10, 8, 14, 11, 7, 3, 21, 24, 0, 27, 15, 31, 30, 16, 25, 28, 4, 6, 5, 9, 23, 22, 13, 17, 29]",150,0.6,8192
33,4,94.24869409541516,758,0.14699958299752325,"[2, 1, 26, 4, 8, 10, 9, 17, 15, 30, 3, 29, 23, 24, 6, 5, 7, 12, 13, 18, 20, 31, 25, 21, 0, 22, 11, 19, 16, 28, 27, 14]",150,0.6,8192
34,8,83.56115839961086,1365,0.2769581390020903,"[3, 2, 1, 22, 23, 24, 7, 8, 10, 9, 17, 15, 30, 29, 6, 5, 4, 12, 13, 18, 20, 31, 25, 21, 0, 11, 19, 14, 16, 28, 27, 26]",150,0.6,8192
35,16,73.45669172788914,2577,0.5800523399957456,"[30, 3, 2, 1, 22, 23, 24, 25, 26, 7, 8, 10, 9, 11, 15, 17, 29, 6, 5, 4, 16, 14, 18, 20, 31, 0, 21, 19, 13, 12, 27, 28]",150,0.6,8192
36,32,64.55437028245751,4998,1.151400063012261,"[3, 2, 1, 22, 31, 24, 6, 7, 8, 10, 9, 11, 12, 19, 17, 30, 29, 27, 23, 25, 26, 5, 4, 28, 13, 14, 15, 16, 20, 18, 21, 0]",150,0.6,8192
37,64,56.1908095102506,9837,2.228934676008066,"[3, 2, 1, 22, 23, 31, 24, 25, 26, 7, 6, 8, 10, 9, 11, 12, 28, 17, 30, 29, 5, 4, 27, 13, 14, 15, 16, 18, 19, 20, 21, 0]",150,0.6,8192
38,128,48.369643225869105,19508,4.391291565989377,"[22, 3, 2, 1, 0, 23, 31, 24, 25, 26, 6, 7, 8, 9, 10, 11, 12, 13, 16, 30, 29, 4, 5, 27, 28, 14, 15, 17, 18, 19, 20, 21]",150,0.6,8192
39,256,38.71477664211886,38850,8.465949851990445,"[22, 0, 1, 2, 3, 24, 23, 31, 25, 26, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 28, 27, 29, 30, 16, 17, 18, 19, 20, 21]",150,0.6,8192
40,512,38.53663105724556,77507,16.595596335013397,"[22, 23, 0, 1, 2, 3, 24, 31, 25, 26, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 28, 27, 29, 30, 16, 17, 18, 19, 20, 21]",150,0.6,8192
41,1024,38.53663105724556,122052,25.955314577004174,"[22, 23, 0, 1, 2, 3, 24, 31, 25, 26, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 28, 27, 29, 30, 16, 17, 18, 19, 20, 21]",150,0.6,8192
42,2048,38.53663105724556,122052,25.955314577004174,"[22, 23, 0, 1, 2, 3, 24, 31, 25, 26, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 28, 27, 29, 30, 16, 17, 18, 19, 20, 21]",150,0.6,8192
43,4096,38.53663105724556,122052,25.955314577004174,"[22, 23, 0, 1, 2, 3, 24, 31, 25, 26, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 28, 27, 29, 30, 16, 17, 18, 19, 20, 21]",150,0.6,8192
44,8192,38.53663105724556,122052,25.955314577004174,"[22, 23, 0, 1, 2, 3, 24, 31, 25, 26, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 28, 27, 29, 30, 16, 17, 18, 19, 20, 21]",150,0.6,8192
45,0,130.83106057819353,200,0.010628834017552435,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",200,0.4,8192
46,1,93.21324683669685,402,0.05733566600247286,"[3, 2, 1, 22, 23, 24, 10, 21, 27, 9, 28, 20, 29, 13, 5, 19, 30, 17, 18, 16, 14, 15, 31, 4, 6, 8, 7, 0, 12, 11, 25, 26]",200,0.4,8192
47,2,93.21324683669685,603,0.11526177602354437,"[3, 2, 1, 22, 23, 24, 10, 21, 27, 9, 28, 20, 29, 13, 5, 19, 30, 17, 18, 16, 14, 15, 31, 4, 6, 8, 7, 0, 12, 11, 25, 26]",200,0.4,8192
48,4,85.75004112972549,1006,0.19910422401153482,"[14, 31, 29, 13, 15, 9, 7, 8, 25, 5, 6, 4, 27, 3, 0, 23, 1, 2, 28, 12, 21, 19, 11, 10, 26, 24, 22, 17, 18, 16, 30, 20]",200,0.4,8192
