,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
23,128,89.38860356772588,19483,53.59803514601663,"[22, 11, 30, 24, 2, 31, 20, 21, 19, 15, 16, 12, 14, 29, 10, 7, 28, 23, 27, 13, 9, 26, 3, 8, 6, 5, 25, 4, 1, 0, 17, 18]",True,150,0.5,8192
24,256,89.38860356772588,38811,108.78391903900774,"[22, 11, 30, 24, 2, 31, 20, 21, 19, 15, 16, 12, 14, 29, 10, 7, 28, 23, 27, 13, 9, 26, 3, 8, 6, 5, 25, 4, 1, 0, 17, 18]",True,150,0.5,8192
25,512,89.38860356772588,77467,219.02076306199888,"[22, 11, 30, 24, 2, 31, 20, 21, 19, 15, 16, 12, 14, 29, 10, 7, 28, 23, 27, 13, 9, 26, 3, 8, 6, 5, 25, 4, 1, 0, 17, 18]",True,150,0.5,8192
26,1024,89.38860356772588,79581,224.98672474900377,"[22, 11, 30, 24, 2, 31, 20, 21, 19, 15, 16, 12, 14, 29, 10, 7, 28, 23, 27, 13, 9, 26, 3, 8, 6, 5, 25, 4, 1, 0, 17, 18]",True,150,0.5,8192
27,2048,89.38860356772588,79581,224.98672474900377,"[22, 11, 30, 24, 2, 31, 20, 21, 19, 15, 16, 12, 14, 29, 10, 7, 28, 23, 27, 13, 9, 26, 3, 8, 6, 5, 25, 4, 1, 0, 17, 18]",True,150,0.5,8192
28,4096,89.38860356772588,79581,224.98672474900377,"[22, 11, 30, 24, 2, 31, 20, 21, 19, 15, 16, 12, 14, 29, 10, 7, 28, 23, 27, 13, 9, 26, 3, 8, 6, 5, 25, 4, 1, 0, 17, 18]",True,150,0.5,8192
29,8192,89.38860356772588,79581,224.98672474900377,"[22, 11, 30, 24, 2, 31, 20, 21, 19, 15, 16, 12, 14, 29, 10, 7, 28, 23, 27, 13, 9, 26, 3, 8, 6, 5, 25, 4, 1, 0, 17, 18]",True,150,0.5,8192
30,0,130.83106057819353,150,0.007488248986192048,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",True,150,0.75,8192
31,1,102.7041629602877,302,0.444394607009599,"[10, 2, 1, 22, 20, 17, 27, 9, 18, 16, 29, 21, 3, 13, 11, 19, 30, 26, 31, 28, 12, 23, 0, 14, 15, 24, 5, 25, 8, 7, 6, 4]",True,150,0.75,8192
32,2,102.27626377038291,454,0.8791594000067562,"[19, 13, 29, 27, 2, 6, 8, 31, 20, 16, 21, 18, 12, 15, 23, 22, 1, 3, 4, 5, 24, 17, 14, 9, 7, 26, 25, 30, 28, 10, 0, 11]",True,150,0.75,8192
33,4,98.50963799331767,758,1.8221365720091853,"[31, 26, 7, 20, 29, 15, 9, 10, 2, 25, 24, 22, 17, 30, 6, 8, 28, 27, 16, 18, 19, 11, 3, 14, 12, 13, 0, 1, 5, 4, 23, 21]",True,150,0.75,8192
34,8,95.60874699093128,1364,3.5986503990134224,"[23, 11, 10, 26, 8, 31, 6, 5, 3, 21, 4, 2, 14, 9, 12, 13, 28, 27, 0, 30, 25, 1, 7, 15, 29, 24, 20, 18, 19, 17, 16, 22]",True,150,0.75,8192
35,16,90.74387624173441,2574,7.01106894298573,"[9, 11, 10, 26, 24, 8, 25, 5, 22, 21, 4, 2, 14, 28, 31, 20, 23, 27, 6, 3, 0, 1, 7, 15, 12, 13, 29, 18, 19, 17, 16, 30]",True,150,0.75,8192
36,32,90.74387624173441,4990,13.649060613999609,"[9, 11, 10, 26, 24, 8, 25, 5, 22, 21, 4, 2, 14, 28, 31, 20, 23, 27, 6, 3, 0, 1, 7, 15, 12, 13, 29, 18, 19, 17, 16, 30]",True,150,0.75,8192
37,64,90.74387624173441,9822,26.960064406011952,"[9, 11, 10, 26, 24, 8, 25, 5, 22, 21, 4, 2, 14, 28, 31, 20, 23, 27, 6, 3, 0, 1, 7, 15, 12, 13, 29, 18, 19, 17, 16, 30]",True,150,0.75,8192
38,128,90.74387624173441,19486,54.28947296101251,"[9, 11, 10, 26, 24, 8, 25, 5, 22, 21, 4, 2, 14, 28, 31, 20, 23, 27, 6, 3, 0, 1, 7, 15, 12, 13, 29, 18, 19, 17, 16, 30]",True,150,0.75,8192
39,256,90.74387624173441,38814,107.92553330099327,"[9, 11, 10, 26, 24, 8, 25, 5, 22, 21, 4, 2, 14, 28, 31, 20, 23, 27, 6, 3, 0, 1, 7, 15, 12, 13, 29, 18, 19, 17, 16, 30]",True,150,0.75,8192
40,512,90.74387624173441,77470,217.43025992400362,"[9, 11, 10, 26, 24, 8, 25, 5, 22, 21, 4, 2, 14, 28, 31, 20, 23, 27, 6, 3, 0, 1, 7, 15, 12, 13, 29, 18, 19, 17, 16, 30]",True,150,0.75,8192
41,1024,90.74387624173441,77621,217.84712638900965,"[9, 11, 10, 26, 24, 8, 25, 5, 22, 21, 4, 2, 14, 28, 31, 20, 23, 27, 6, 3, 0, 1, 7, 15, 12, 13, 29, 18, 19, 17, 16, 30]",True,150,0.75,8192
42,2048,90.74387624173441,77621,217.84712638900965,"[9, 11, 10, 26, 24, 8, 25, 5, 22, 21, 4, 2, 14, 28, 31, 20, 23, 27, 6, 3, 0, 1, 7, 15, 12, 13, 29, 18, 19, 17, 16, 30]",True,150,0.75,8192
43,4096,90.74387624173441,77621,217.84712638900965,"[9, 11, 10, 26, 24, 8, 25, 5, 22, 21, 4, 2, 14, 28, 31, 20, 23, 27, 6, 3, 0, 1, 7, 15, 12, 13, 29, 18, 19, 17, 16, 30]",True,150,0.75,8192
44,8192,90.74387624173441,77621,217.84712638900965,"[9, 11, 10, 26, 24, 8, 25, 5, 22, 21, 4, 2, 14, 28, 31, 20, 23, 27, 6, 3, 0, 1, 7, 15, 12, 13, 29, 18, 19, 17, 16, 30]",True,150,0.75,8192
45,0,130.83106057819353,200,0.010055378981633112,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",True,200,0.25,8192
46,1,102.38357151597705,402,0.4726128320035059,"[14, 9, 7, 5, 4, 21, 13, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 0, 29, 27, 18, 31, 22, 1, 2, 3, 17, 15, 11, 12, 28]",True,200,0.25,8192
47,2,102.12039127152684,604,0.9366456999850925,"[10, 7, 27, 18, 21, 1, 25, 15, 24, 26, 29, 31, 17, 0, 6, 12, 11, 14, 19, 23, 22, 2, 4, 3, 8, 16, 13, 20, 30, 28, 5, 9]",True,200,0.25,8192
48,4,92.28578898020292,1007,1.8243959159881342,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
49,8,92.28578898020292,1811,3.601221461984096,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
50,16,92.28578898020292,3419,7.869570712005952,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
51,32,92.28578898020292,6635,16.35761070298031,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
52,64,92.28578898020292,13067,33.591365608008346,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
53,128,92.28578898020292,25931,68.26223364498583,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
54,256,92.28578898020292,51659,135.1720115559874,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
