,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
24,256,7.0,38810,86.12387227997533,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
25,512,7.0,76711,176.90259904999402,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
26,1024,7.0,76711,176.90259904999402,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
27,2048,7.0,76711,176.90259904999402,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
28,4096,7.0,76711,176.90259904999402,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
29,8192,7.0,76711,176.90259904999402,"[4.0, 16.0, 12.0, 19.0, 1.0, 4.0, 18.0, 8.0, 3.0, 5.0, 17.0, 5.0, 14.0, 6.0, 6.0, 15.0, 2.0, 7.0, 16.0, 9.0]",True,150,0.5,8192
30,0,24.0,150,0.17155321498285048,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",True,150,0.75,8192
31,1,9.0,302,0.4968878319778014,"[13.0, 4.0, 10.0, 17.0, 19.0, 1.0, 3.0, 4.0, 17.0, 19.0, 9.0, 11.0, 3.0, 11.0, 6.0, 14.0, 2.0, 18.0, 12.0, 15.0]",True,150,0.75,8192
32,2,9.0,453,0.8846003130020108,"[13.0, 4.0, 10.0, 17.0, 19.0, 1.0, 3.0, 4.0, 17.0, 19.0, 9.0, 11.0, 3.0, 11.0, 6.0, 14.0, 2.0, 18.0, 12.0, 15.0]",True,150,0.75,8192
33,4,9.0,755,1.663684162980644,"[13.0, 4.0, 10.0, 17.0, 19.0, 1.0, 3.0, 4.0, 17.0, 19.0, 9.0, 11.0, 3.0, 11.0, 6.0, 14.0, 2.0, 18.0, 12.0, 15.0]",True,150,0.75,8192
34,8,8.0,1360,3.3007088979939,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
35,16,8.0,2568,7.284557390987175,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
36,32,8.0,4984,14.771080039005028,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
37,64,8.0,9816,26.0123275439837,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
38,128,8.0,19480,47.82999157498125,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
39,256,8.0,38808,99.23567107200506,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
40,512,8.0,76860,184.02822320497944,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
41,1024,8.0,76860,184.02822320497944,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
42,2048,8.0,76860,184.02822320497944,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
43,4096,8.0,76860,184.02822320497944,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
44,8192,8.0,76860,184.02822320497944,"[2.0, 3.0, 16.0, 0.0, 17.0, 2.0, 5.0, 12.0, 4.0, 1.0, 8.0, 11.0, 18.0, 7.0, 1.0, 16.0, 11.0, 0.0, 6.0, 9.0]",True,150,0.75,8192
45,0,24.0,200,0.2757894709939137,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",True,200,0.25,8192
46,1,11.0,402,0.6309809570084326,"[12.0, 14.0, 16.0, 6.0, 0.0, 13.0, 18.0, 4.0, 9.0, 8.0, 0.0, 15.0, 12.0, 19.0, 0.0, 4.0, 0.0, 5.0, 13.0, 6.0]",True,200,0.25,8192
47,2,9.0,604,1.014539160009008,"[14.0, 10.0, 10.0, 8.0, 16.0, 16.0, 13.0, 2.0, 5.0, 1.0, 14.0, 11.0, 16.0, 4.0, 1.0, 3.0, 0.0, 14.0, 7.0, 18.0]",True,200,0.25,8192
48,4,8.0,1007,1.6404593600018416,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 0.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
49,8,7.0,1812,2.7854321300110314,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
50,16,7.0,3420,5.897186865011463,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
51,32,7.0,6636,13.398258598987013,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
52,64,7.0,13068,30.362573546997737,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
53,128,7.0,25932,58.18490661200485,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
54,256,7.0,51660,118.88552349701058,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
55,512,7.0,101709,235.60376728800475,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
56,1024,7.0,101709,235.60376728800475,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
57,2048,7.0,101709,235.60376728800475,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
58,4096,7.0,101709,235.60376728800475,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
59,8192,7.0,101709,235.60376728800475,"[9.0, 7.0, 14.0, 10.0, 0.0, 2.0, 5.0, 11.0, 2.0, 19.0, 8.0, 0.0, 17.0, 1.0, 7.0, 16.0, 6.0, 12.0, 18.0, 1.0]",True,200,0.25,8192
60,0,24.0,200,0.2401408680016175,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",True,200,0.5,8192
61,1,11.0,402,0.7111425909970421,"[14.0, 1.0, 8.0, 19.0, 16.0, 1.0, 19.0, 10.0, 3.0, 15.0, 3.0, 5.0, 14.0, 9.0, 4.0, 0.0, 14.0, 18.0, 1.0, 1.0]",True,200,0.5,8192
62,2,10.0,604,1.2804732320073526,"[10.0, 0.0, 16.0, 15.0, 13.0, 2.0, 13.0, 0.0, 14.0, 16.0, 18.0, 9.0, 12.0, 1.0, 17.0, 6.0, 14.0, 9.0, 11.0, 8.0]",True,200,0.5,8192
63,4,10.0,1006,2.1496219630062114,"[10.0, 0.0, 16.0, 15.0, 13.0, 2.0, 13.0, 0.0, 14.0, 16.0, 18.0, 9.0, 12.0, 1.0, 17.0, 6.0, 14.0, 9.0, 11.0, 8.0]",True,200,0.5,8192
64,8,8.0,1811,3.673619363020407,"[5.0, 14.0, 18.0, 10.0, 5.0, 1.0, 8.0, 11.0, 2.0, 19.0, 9.0, 13.0, 17.0, 13.0, 2.0, 16.0, 9.0, 15.0, 3.0, 16.0]",True,200,0.5,8192
65,16,7.0,3420,6.120889418001752,"[3.0, 1.0, 19.0, 11.0, 16.0, 19.0, 17.0, 4.0, 14.0, 4.0, 8.0, 5.0, 19.0, 6.0, 18.0, 0.0, 18.0, 2.0, 10.0, 18.0]",True,200,0.5,8192
66,32,7.0,6636,11.296856402012054,"[3.0, 1.0, 19.0, 11.0, 16.0, 19.0, 17.0, 4.0, 14.0, 4.0, 8.0, 5.0, 19.0, 6.0, 18.0, 0.0, 18.0, 2.0, 10.0, 18.0]",True,200,0.5,8192
67,64,7.0,13068,21.100075354013825,"[3.0, 1.0, 19.0, 11.0, 16.0, 19.0, 17.0, 4.0, 14.0, 4.0, 8.0, 5.0, 19.0, 6.0, 18.0, 0.0, 18.0, 2.0, 10.0, 18.0]",True,200,0.5,8192
68,128,7.0,25932,51.148939909006,"[3.0, 1.0, 19.0, 11.0, 16.0, 19.0, 17.0, 4.0, 14.0, 4.0, 8.0, 5.0, 19.0, 6.0, 18.0, 0.0, 18.0, 2.0, 10.0, 18.0]",True,200,0.5,8192
69,256,7.0,51660,107.03000087299733,"[3.0, 1.0, 19.0, 11.0, 16.0, 19.0, 17.0, 4.0, 14.0, 4.0, 8.0, 5.0, 19.0, 6.0, 18.0, 0.0, 18.0, 2.0, 10.0, 18.0]",True,200,0.5,8192
70,512,7.0,103116,218.08844760700595,"[3.0, 1.0, 19.0, 11.0, 16.0, 19.0, 17.0, 4.0, 14.0, 4.0, 8.0, 5.0, 19.0, 6.0, 18.0, 0.0, 18.0, 2.0, 10.0, 18.0]",True,200,0.5,8192
71,1024,7.0,103518,218.83032729601837,"[3.0, 1.0, 19.0, 11.0, 16.0, 19.0, 17.0, 4.0, 14.0, 4.0, 8.0, 5.0, 19.0, 6.0, 18.0, 0.0, 18.0, 2.0, 10.0, 18.0]",True,200,0.5,8192
72,2048,7.0,103518,218.83032729601837,"[3.0, 1.0, 19.0, 11.0, 16.0, 19.0, 17.0, 4.0, 14.0, 4.0, 8.0, 5.0, 19.0, 6.0, 18.0, 0.0, 18.0, 2.0, 10.0, 18.0]",True,200,0.5,8192
73,4096,7.0,103518,218.83032729601837,"[3.0, 1.0, 19.0, 11.0, 16.0, 19.0, 17.0, 4.0, 14.0, 4.0, 8.0, 5.0, 19.0, 6.0, 18.0, 0.0, 18.0, 2.0, 10.0, 18.0]",True,200,0.5,8192
74,8192,7.0,103518,218.83032729601837,"[3.0, 1.0, 19.0, 11.0, 16.0, 19.0, 17.0, 4.0, 14.0, 4.0, 8.0, 5.0, 19.0, 6.0, 18.0, 0.0, 18.0, 2.0, 10.0, 18.0]",True,200,0.5,8192
75,0,24.0,200,0.27658994699595496,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",True,200,0.75,8192
76,1,12.0,402,0.7581361780175939,"[11.0, 5.0, 19.0, 12.0, 5.0, 19.0, 15.0, 13.0, 7.0, 14.0, 12.0, 16.0, 5.0, 13.0, 10.0, 18.0, 0.0, 8.0, 13.0, 6.0]",True,200,0.75,8192
77,2,12.0,603,1.2147390080208424,"[11.0, 5.0, 19.0, 12.0, 5.0, 19.0, 15.0, 13.0, 7.0, 14.0, 12.0, 16.0, 5.0, 13.0, 10.0, 18.0, 0.0, 8.0, 13.0, 6.0]",True,200,0.75,8192
78,4,11.0,1006,2.1786157980095595,"[13.0, 11.0, 11.0, 0.0, 16.0, 3.0, 12.0, 5.0, 4.0, 18.0, 14.0, 6.0, 17.0, 9.0, 1.0, 17.0, 10.0, 8.0, 19.0, 1.0]",True,200,0.75,8192
