,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
34,8,9.0,1362,0.6834735570009798,"[5, 4, 2, 14, 5, 19, 13, 6, 3, 1, 6, 19, 14, 10, 1, 3, 1, 11, 9, 12]",150,0.6,8192
35,16,8.0,2571,1.2824118470016401,"[17, 0, 6, 3, 1, 2, 16, 2, 11, 18, 10, 4, 0, 5, 12, 18, 5, 19, 5, 9]",150,0.6,8192
36,32,7.0,4988,2.4832033519924153,"[4, 16, 3, 15, 18, 1, 13, 6, 3, 7, 2, 19, 0, 10, 19, 9, 2, 11, 9, 12]",150,0.6,8192
37,64,4.0,9823,4.926741698000114,"[5, 3, 14, 7, 18, 2, 13, 6, 17, 1, 16, 19, 8, 10, 0, 2, 5, 11, 9, 12]",150,0.6,8192
38,128,1.0,19490,9.719901528005721,"[4, 14, 5, 15, 18, 1, 13, 6, 3, 7, 16, 19, 17, 10, 0, 2, 5, 11, 9, 12]",150,0.6,8192
39,256,1.0,38818,19.69699978400604,"[4, 14, 5, 15, 18, 1, 13, 6, 3, 7, 16, 19, 17, 10, 0, 2, 5, 11, 9, 12]",150,0.6,8192
40,512,1.0,77474,41.83620749399415,"[4, 14, 5, 15, 18, 1, 13, 6, 3, 7, 16, 19, 17, 10, 0, 2, 5, 11, 9, 12]",150,0.6,8192
41,1024,1.0,89252,49.37079596699914,"[4, 14, 5, 15, 18, 1, 13, 6, 3, 7, 16, 19, 17, 10, 0, 2, 5, 11, 9, 12]",150,0.6,8192
42,2048,1.0,89252,49.37079596699914,"[4, 14, 5, 15, 18, 1, 13, 6, 3, 7, 16, 19, 17, 10, 0, 2, 5, 11, 9, 12]",150,0.6,8192
43,4096,1.0,89252,49.37079596699914,"[4, 14, 5, 15, 18, 1, 13, 6, 3, 7, 16, 19, 17, 10, 0, 2, 5, 11, 9, 12]",150,0.6,8192
44,8192,1.0,89252,49.37079596699914,"[4, 14, 5, 15, 18, 1, 13, 6, 3, 7, 16, 19, 17, 10, 0, 2, 5, 11, 9, 12]",150,0.6,8192
45,0,24.0,200,0.12155291400267743,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",200,0.4,8192
46,1,9.0,402,0.22721607898711227,"[18, 16, 18, 3, 8, 5, 1, 17, 3, 6, 9, 14, 4, 0, 11, 0, 18, 10, 19, 7]",200,0.4,8192
47,2,9.0,603,0.3310178160027135,"[18, 16, 18, 3, 8, 5, 1, 17, 3, 6, 9, 14, 4, 0, 11, 0, 18, 10, 19, 7]",200,0.4,8192
48,4,9.0,1005,0.5331523130007554,"[18, 16, 18, 3, 8, 5, 1, 17, 3, 6, 9, 14, 4, 0, 11, 0, 18, 10, 19, 7]",200,0.4,8192
49,8,9.0,1809,1.0536188069963828,"[18, 16, 18, 3, 8, 5, 1, 17, 3, 6, 9, 14, 4, 0, 11, 0, 18, 10, 19, 7]",200,0.4,8192
50,16,9.0,3417,1.856263247987954,"[18, 16, 18, 3, 8, 5, 1, 17, 3, 6, 9, 14, 4, 0, 11, 0, 18, 10, 19, 7]",200,0.4,8192
51,32,5.0,6637,3.4727962689939886,"[2, 8, 9, 19, 15, 1, 11, 0, 0, 6, 14, 5, 0, 12, 17, 13, 7, 10, 18, 1]",200,0.4,8192
52,64,2.0,13072,6.9050373249920085,"[2, 8, 16, 19, 10, 1, 4, 0, 18, 6, 14, 5, 1, 12, 17, 15, 7, 12, 3, 9]",200,0.4,8192
53,128,2.0,25936,13.451537138986168,"[2, 8, 16, 19, 10, 1, 4, 0, 18, 6, 14, 5, 1, 12, 17, 15, 7, 12, 3, 9]",200,0.4,8192
54,256,2.0,51664,26.20433109800797,"[2, 8, 16, 19, 10, 1, 4, 0, 18, 6, 14, 5, 1, 12, 17, 15, 7, 12, 3, 9]",200,0.4,8192
55,512,2.0,103120,69.13147843899787,"[2, 8, 16, 19, 10, 1, 4, 0, 18, 6, 14, 5, 1, 12, 17, 15, 7, 12, 3, 9]",200,0.4,8192
56,1024,2.0,110155,78.50317138599348,"[2, 8, 16, 19, 10, 1, 4, 0, 18, 6, 14, 5, 1, 12, 17, 15, 7, 12, 3, 9]",200,0.4,8192
57,2048,2.0,110155,78.50317138599348,"[2, 8, 16, 19, 10, 1, 4, 0, 18, 6, 14, 5, 1, 12, 17, 15, 7, 12, 3, 9]",200,0.4,8192
58,4096,2.0,110155,78.50317138599348,"[2, 8, 16, 19, 10, 1, 4, 0, 18, 6, 14, 5, 1, 12, 17, 15, 7, 12, 3, 9]",200,0.4,8192
59,8192,2.0,110155,78.50317138599348,"[2, 8, 16, 19, 10, 1, 4, 0, 18, 6, 14, 5, 1, 12, 17, 15, 7, 12, 3, 9]",200,0.4,8192
60,0,24.0,200,0.27219508300186135,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",200,0.5,8192
61,1,12.0,402,0.5054468360031024,"[4, 8, 3, 9, 0, 13, 9, 1, 5, 11, 0, 3, 5, 19, 17, 4, 0, 2, 16, 3]",200,0.5,8192
62,2,11.0,604,0.6974898650078103,"[14, 4, 10, 9, 14, 16, 17, 19, 1, 16, 7, 15, 17, 0, 18, 0, 4, 0, 13, 5]",200,0.5,8192
63,4,8.0,1007,1.0885495739930775,"[3, 14, 13, 6, 2, 11, 10, 0, 17, 14, 0, 19, 6, 8, 0, 7, 16, 12, 1, 18]",200,0.5,8192
64,8,8.0,1811,2.007413026993163,"[3, 14, 13, 6, 2, 11, 10, 0, 17, 14, 0, 19, 6, 8, 0, 7, 16, 12, 1, 18]",200,0.5,8192
65,16,8.0,3419,3.8013835129968356,"[3, 14, 13, 6, 2, 11, 10, 0, 17, 14, 0, 19, 6, 8, 0, 7, 16, 12, 1, 18]",200,0.5,8192
